Fire Name,Acres,Ignition Date,Fire Type,Fire ID,,,,,,,,,,,,
CONSTELLATION,11245,8/20/2020,Wildfire,AZ3404711254320200820,,,,,,,,,,,,
HON-DAH WUI RX BURN,1799,10/1/2019,Prescribed Fire,AZ3410210976220191001,,,,,,,,,,,,
TRAIL,1698,10/25/2020,Wildfire,AZ3414711211820201025,,,,,,,,,,,,
SUNSET,4022,5/31/2020,Wildfire,AZ3415011213920200531,,,,,,,,,,,,
CORDUROY WUI RX BURN,2742,10/1/2019,Prescribed Fire,AZ3415411004620191001,,,,,,,,,,,,
WHITING,2030,6/30/2019,Wildfire,AZ3416410958120190630,,,,,,,,,,,,
TELEPHONE,2361,9/4/2019,Wildfire,AZ3417010978820190904,,,,,,,,,,,,
BUMBLE BEE,3055,8/7/2020,Wildfire,AZ3417411217520200807,,,,,,,,,,,,
UNNAMED,1657,4/26/2019,Prescribed Fire,AZ3418010976020190426,,,,,,,,,,,,
HOP-COT WUI RX BURN,1382,10/1/2019,Prescribed Fire,AZ3419611009620191001,,,,,,,,,,,,
WHITE SPRINGS,1660,7/8/2019,Wildfire,AZ3420611050920190708,,,,,,,,,,,,
BADGER SPRINGS,2559,6/21/2019,Wildfire,AZ3423111210020190621,,,,,,,,,,,,
BAGNAL,2215,7/26/2019,Wildfire,AZ3423611014020190726,,,,,,,,,,,,
CELLAR,7529,7/14/2019,Wildfire,AZ3424311248720190714,,,,,,,,,,,,
HORSE,9174,10/15/2020,Wildfire,AZ3427511241920201015,,,,,,,,,,,,
PINE,2102,7/13/2020,Wildfire,AZ3429411181120200713,,,,,,,,,,,,
ROCKY,3519,9/5/2019,Wildfire,AZ3429911063220190905,,,,,,,,,,,,
CROOK,1636,11/16/2019,Prescribed Fire,AZ3431311092620191116,,,,,,,,,,,,
UNNAMED,1432,7/27/2019,Prescribed Fire,AZ3439911199620190727,,,,,,,,,,,,
UNNAMED,2567,6/3/2019,Wildfire,AZ3440011201020190603,,,,,,,,,,,,
UNNAMED,1055,11/13/2019,Prescribed Fire,AZ3440611096420191113,,,,,,,,,,,,
UNNAMED,5084,7/15/2020,Prescribed Fire,AZ3445011201020200715,,,,,,,,,,,,
COLDWATER,16825,5/30/2019,Wildfire,AZ3449211130220190530,,,,,,,,,,,,
UNNAMED,1424,6/1/2019,Prescribed Fire,AZ3453211255020190601,,,,,,,,,,,,
HART,4986,7/12/2019,Wildfire,AZ3453311119120190712,,,,,,,,,,,,
COF 736B CRAGIN RX,10300,10/1/2019,Prescribed Fire,AZ3455511117020191001,,,,,,,,,,,,
EDEN,2552,8/29/2019,Wildfire,AZ3463311127120190829,,,,,,,,,,,,
SHERIDAN,17411,8/5/2019,Wildfire,AZ3467811289020190805,,,,,,,,,,,,
DUKE,1007,7/13/2019,Wildfire,AZ3469511119520190713,,,,,,,,,,,,
PEMBERTON,1211,8/6/2019,Wildfire,AZ3471811268020190806,,,,,,,,,,,,
BOZARTH,4775,8/24/2020,Wildfire,AZ3474011321420200824,,,,,,,,,,,,
PILOT KNOB,11067,8/24/2020,Wildfire,AZ3479711322320200824,,,,,,,,,,,,
UNNAMED,3704,7/23/2020,Prescribed Fire,AZ3486611284720200723,,,,,,,,,,,,
RIDGE,3036,8/17/2020,Wildfire,AZ3500811387920200817,,,,,,,,,,,,
SABER,3474,8/2/2019,Wildfire,AZ3501011190120190802,,,,,,,,,,,,
NEWMAN,4955,7/11/2019,Wildfire,AZ3502311152420190711,,,,,,,,,,,,
WHISKEY,6219,9/2/2019,Wildfire,AZ3504411184020190902,,,,,,,,,,,,
MUSEUM,2004,7/21/2019,Wildfire,AZ3525811164320190721,,,,,,,,,,,,
MAROON,8605,5/16/2019,Wildfire,AZ3530911140720190516,,,,,,,,,,,,
BOULIN,4097,8/6/2019,Wildfire,AZ3539311201120190806,,,,,,,,,,,,
MONUMENT,1383,7/5/2020,Wildfire,AZ3563211274720200705,,,,,,,,,,,,
BLACK CANYON,6363,8/18/2020,Wildfire,AZ3574111380520200818,,,,,,,,,,,,
WOOD SPRINGS 2,13208,6/27/2020,Wildfire,AZ3584010937820200627,,,,,,,,,,,,
REED RX FY19,1540,6/24/2019,Prescribed Fire,AZ3594011201120190624,,,,,,,,,,,,
GCP-LONG JIM RX-2019,1761,6/14/2019,Prescribed Fire,AZ3602011207720190614,,,,,,,,,,,,
THUMB,7867,7/16/2020,Wildfire,AZ3633111257320200716,,,,,,,,,,,,
IKES,16479,7/25/2019,Wildfire,AZ3634811228620190725,,,,,,,,,,,,
TRUMBULL,2922,8/5/2019,Wildfire,AZ3641211314120190805,,,,,,,,,,,,
BASIN,38588,5/10/2020,Wildfire,AZ3652211386520200510,,,,,,,,,,,,
CASTLE,19271,7/12/2019,Wildfire,AZ3653111222820190712,,,,,,,,,,,,
MOQUITCH RX 2019,3692,6/12/2019,Prescribed Fire,AZ3661211224420190612,,,,,,,,,,,,
LITTLE SPRINGS,1452,7/11/2019,Wildfire,AZ3662211256720190711,,,,,,,,,,,,
MANGUM,71634,6/8/2020,Wildfire,AZ3662811235020200608,,,,,,,,,,,,
PINE HOLLOW,11552,7/29/2020,Wildfire,AZ3698311211020200729,,,,,,,,,,,,
VIRGIN MOUNTAIN,1588,9/22/2020,Wildfire,NV3660711406220200922,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
